step	accuracy
0	0.5648750066757202
1	0.6148750185966492
2	0.643625020980835
3	0.6626250147819519
4	0.6786249876022339
5	0.6890000104904175
6	0.6800000071525574
7	0.7014999985694885
8	0.699874997138977
9	0.706250011920929
