step	loss
0	0.686529278755188
1	0.6525420546531677
2	0.6404199004173279
3	0.6283417344093323
4	0.618668794631958
5	0.5988741517066956
6	0.5918620824813843
7	0.5843034386634827
8	0.5865495800971985
9	0.5632078647613525
